*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.

***********************************************************************
*****             Interconnect Capacitance Table           ************
***********************************************************************

Process: 	65nm 1P10M Logic Low Leakage Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-06-15
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


************************
* Layers:	MT1-M5 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.840	1.600	1.74E-01	1.11E-01	4.83E-02	3.01E-02	3.12E-02
0.840	2.000	1.67E-01	1.19E-01	4.83E-02	2.27E-02	3.53E-02
0.840	2.400	1.64E-01	1.26E-01	4.83E-02	1.76E-02	3.88E-02
0.840	2.800	1.61E-01	1.31E-01	4.83E-02	1.39E-02	4.15E-02
1.260	0.400	3.42E-01	9.49E-02	7.25E-02	1.21E-01	1.12E-02
1.260	0.500	3.03E-01	9.96E-02	7.25E-02	9.95E-02	1.36E-02
1.260	0.800	2.45E-01	1.11E-01	7.25E-02	6.48E-02	1.94E-02
1.260	1.200	2.14E-01	1.24E-01	7.25E-02	4.32E-02	2.59E-02
1.260	1.600	2.00E-01	1.35E-01	7.25E-02	3.13E-02	3.12E-02
1.260	2.000	1.93E-01	1.43E-01	7.25E-02	2.37E-02	3.53E-02
1.260	2.400	1.89E-01	1.50E-01	7.25E-02	1.85E-02	3.87E-02
1.260	2.800	1.87E-01	1.56E-01	7.25E-02	1.46E-02	4.16E-02
1.680	0.400	3.69E-01	1.19E-01	9.66E-02	1.23E-01	1.12E-02
1.680	0.500	3.30E-01	1.24E-01	9.66E-02	1.01E-01	1.35E-02
1.680	0.800	2.71E-01	1.36E-01	9.66E-02	6.61E-02	1.94E-02
1.680	1.200	2.40E-01	1.49E-01	9.66E-02	4.42E-02	2.59E-02
1.680	1.600	2.26E-01	1.59E-01	9.66E-02	3.21E-02	3.11E-02
1.680	2.000	2.19E-01	1.67E-01	9.66E-02	2.44E-02	3.53E-02
1.680	2.400	2.15E-01	1.74E-01	9.66E-02	1.90E-02	3.89E-02
1.680	2.800	2.12E-01	1.80E-01	9.66E-02	1.51E-02	4.17E-02
2.100	0.400	3.95E-01	1.43E-01	1.21E-01	1.24E-01	1.12E-02
2.100	0.500	3.56E-01	1.48E-01	1.21E-01	1.02E-01	1.35E-02
2.100	0.800	2.97E-01	1.60E-01	1.21E-01	6.71E-02	1.94E-02
2.100	1.200	2.66E-01	1.73E-01	1.21E-01	4.50E-02	2.59E-02
2.100	1.600	2.51E-01	1.83E-01	1.21E-01	3.28E-02	3.11E-02
2.100	2.000	2.44E-01	1.92E-01	1.21E-01	2.49E-02	3.54E-02
2.100	2.400	2.40E-01	1.99E-01	1.21E-01	1.95E-02	3.89E-02
2.100	2.800	2.37E-01	2.04E-01	1.21E-01	1.55E-02	4.17E-02
2.560	0.400	4.23E-01	1.70E-01	1.47E-01	1.25E-01	1.12E-02
2.560	0.500	3.84E-01	1.74E-01	1.47E-01	1.03E-01	1.35E-02
2.560	0.800	3.25E-01	1.86E-01	1.47E-01	6.78E-02	1.94E-02
2.560	1.200	2.93E-01	1.99E-01	1.47E-01	4.56E-02	2.59E-02
2.560	1.600	2.79E-01	2.10E-01	1.47E-01	3.33E-02	3.12E-02
2.560	2.000	2.71E-01	2.18E-01	1.47E-01	2.54E-02	3.55E-02
2.560	2.400	2.67E-01	2.25E-01	1.47E-01	1.99E-02	3.89E-02
2.560	2.800	2.65E-01	2.31E-01	1.47E-01	1.58E-02	4.17E-02
------	-------	--------	--------	--------	--------	--------

