*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-31
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	0.500	8.22E-02	2.56E-02	2.80E-03	2.83E-02	1.14E-02
0.100	0.600	7.67E-02	2.77E-02	2.80E-03	2.45E-02	1.25E-02
0.100	0.800	6.99E-02	3.15E-02	2.80E-03	1.92E-02	1.44E-02
0.100	1.000	6.59E-02	3.48E-02	2.80E-03	1.56E-02	1.60E-02
0.100	1.200	6.35E-02	3.75E-02	2.80E-03	1.30E-02	1.74E-02
0.100	1.400	6.20E-02	3.99E-02	2.80E-03	1.11E-02	1.85E-02
0.100	1.600	6.09E-02	4.19E-02	2.80E-03	9.49E-03	1.95E-02
0.100	1.800	6.01E-02	4.36E-02	2.80E-03	8.24E-03	2.04E-02
0.100	2.000	5.95E-02	4.51E-02	2.80E-03	7.21E-03	2.12E-02
0.100	2.500	5.88E-02	4.80E-02	2.80E-03	5.38E-03	2.26E-02
0.100	3.000	5.83E-02	5.00E-02	2.80E-03	4.16E-03	2.36E-02
0.100	4.000	5.80E-02	5.25E-02	2.80E-03	2.74E-03	2.49E-02
0.100	5.000	5.79E-02	5.39E-02	2.80E-03	1.98E-03	2.55E-02
0.100	7.000	5.78E-02	5.53E-02	2.80E-03	1.24E-03	2.63E-02
0.100	10.000	5.77E-02	5.61E-02	2.80E-03	7.97E-04	2.67E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	0.080	2.42E-01	1.70E-02	5.02E-03	1.13E-01	5.97E-03
0.100	0.100	2.07E-01	1.81E-02	5.02E-03	9.42E-02	6.56E-03
0.100	0.120	1.82E-01	1.93E-02	5.02E-03	8.16E-02	7.12E-03
0.100	0.130	1.73E-01	1.98E-02	5.02E-03	7.66E-02	7.40E-03
0.100	0.150	1.58E-01	2.10E-02	5.02E-03	6.83E-02	7.99E-03
0.100	0.180	1.41E-01	2.26E-02	5.02E-03	5.92E-02	8.77E-03
0.100	0.200	1.32E-01	2.36E-02	5.02E-03	5.44E-02	9.27E-03
0.100	0.250	1.17E-01	2.59E-02	5.02E-03	4.55E-02	1.04E-02
0.100	0.300	1.06E-01	2.82E-02	5.02E-03	3.91E-02	1.16E-02
0.100	0.400	9.36E-02	3.23E-02	5.02E-03	3.07E-02	1.36E-02
0.100	0.500	8.61E-02	3.58E-02	5.02E-03	2.51E-02	1.54E-02
0.100	0.600	8.13E-02	3.91E-02	5.02E-03	2.11E-02	1.70E-02
0.100	0.800	7.58E-02	4.45E-02	5.02E-03	1.57E-02	1.98E-02
0.100	1.000	7.29E-02	4.88E-02	5.02E-03	1.21E-02	2.19E-02
0.100	1.200	7.14E-02	5.21E-02	5.02E-03	9.64E-03	2.35E-02
0.100	1.400	7.04E-02	5.48E-02	5.02E-03	7.84E-03	2.49E-02
0.100	1.600	6.99E-02	5.69E-02	5.02E-03	6.50E-03	2.59E-02
0.100	1.800	6.95E-02	5.85E-02	5.02E-03	5.50E-03	2.67E-02
0.100	2.000	6.92E-02	5.99E-02	5.02E-03	4.69E-03	2.74E-02
0.100	2.500	6.89E-02	6.23E-02	5.02E-03	3.31E-03	2.86E-02
0.100	3.000	6.88E-02	6.38E-02	5.02E-03	2.50E-03	2.94E-02
0.100	4.000	6.86E-02	6.54E-02	5.02E-03	1.61E-03	3.02E-02
0.100	5.000	6.86E-02	6.63E-02	5.02E-03	1.17E-03	3.06E-02
0.100	7.000	6.86E-02	6.71E-02	5.02E-03	7.53E-04	3.10E-02
0.100	10.000	6.85E-02	6.76E-02	5.02E-03	4.97E-04	3.13E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-M2 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	0.080	2.49E-01	3.69E-02	1.72E-02	1.06E-01	9.85E-03
0.100	0.100	2.15E-01	4.01E-02	1.72E-02	8.74E-02	1.14E-02
0.100	0.120	1.92E-01	4.32E-02	1.72E-02	7.43E-02	1.30E-02
0.100	0.130	1.83E-01	4.47E-02	1.72E-02	6.91E-02	1.38E-02
0.100	0.150	1.69E-01	4.75E-02	1.72E-02	6.07E-02	1.52E-02
0.100	0.180	1.54E-01	5.14E-02	1.72E-02	5.11E-02	1.71E-02
0.100	0.200	1.46E-01	5.39E-02	1.72E-02	4.62E-02	1.84E-02
0.100	0.250	1.33E-01	5.95E-02	1.72E-02	3.70E-02	2.12E-02
0.100	0.300	1.25E-01	6.43E-02	1.72E-02	3.05E-02	2.36E-02
0.100	0.400	1.17E-01	7.24E-02	1.72E-02	2.21E-02	2.76E-02
0.100	0.500	1.12E-01	7.83E-02	1.72E-02	1.69E-02	3.06E-02
0.100	0.600	1.10E-01	8.30E-02	1.72E-02	1.33E-02	3.29E-02
0.100	0.800	1.07E-01	8.95E-02	1.72E-02	8.93E-03	3.62E-02
0.100	1.000	1.06E-01	9.36E-02	1.72E-02	6.37E-03	3.82E-02
0.100	1.200	1.06E-01	9.64E-02	1.72E-02	4.79E-03	3.96E-02
